Cambustion / University of Alberta,Tandem,v0.2,4/3/2024,14:41:17,Bypass scans:,FALSE,,
Classifier 1,Data points,Data length,Serial number,Sample flow (lpm),Resolution,Start (fg),End (fg),Per decade
CPMA,5,5,C813,0.3,2,0.05,500,1
Classifier 2,Data points,Data length,Sample flow (lpm),Sheath flow SP (lpm),Error status,Start (nm),End (nm),
3082 DMA,113,4,0.3,2.1,"0
",17.5,,
CPC,,,,,,,,
Dummy,,,,,,,,
Mp (fg),Speed (rad/s),Voltage (V),Pressure (Pa),Temperature (C),Dm (nm)2,Temperature (C)2,Pressure (kPa)2,Conc 
0.5,175.5734783,5.819673913,93488.83696,29.34891304,94.7,25.00271739,93.57119565,1.69E+03
0.5,175.5734783,5.819673913,93488.83696,29.34891304,98.2,25.00271739,93.57119565,2.49E+03
0.5,175.5734783,5.819673913,93488.83696,29.34891304,102,25.00271739,93.57119565,3.56E+03
0.5,175.5734783,5.819673913,93488.83696,29.34891304,106,25.00271739,93.57119565,4.21E+03
0.5,175.5734783,5.819673913,93488.83696,29.34891304,109,25.00271739,93.57119565,3.75E+03
0.5,175.5734783,5.819673913,93488.83696,29.34891304,113,25.00271739,93.57119565,2.56E+03
0.5,175.5734783,5.819673913,93488.83696,29.34891304,118,25.00271739,93.57119565,1.26E+03
0.5,175.5734783,5.819673913,93488.83696,29.34891304,122,25.00271739,93.57119565,464
0.5,175.5734783,5.819673913,93488.83696,29.34891304,126,25.00271739,93.57119565,110
0.5,175.5734783,5.819673913,93488.83696,29.34891304,131,25.00271739,93.57119565,21.2
0.5,175.5734783,5.819673913,93488.83696,29.34891304,136,25.00271739,93.57119565,5.49
0.5,175.5734783,5.819673913,93488.83696,29.34891304,141,25.00271739,93.57119565,2.43
0.5,175.5734783,5.819673913,93488.83696,29.34891304,146,25.00271739,93.57119565,1.56
0.5,175.5734783,5.819673913,93488.83696,29.34891304,151,25.00271739,93.57119565,0.448
5,103.8947826,20.14576087,93458.47826,29.72717391,73.7,25.03115942,93.57282609,0.842
5,103.8947826,20.14576087,93458.47826,29.72717391,76.4,25.03115942,93.57282609,0.211
5,103.8947826,20.14576087,93458.47826,29.72717391,79.1,25.03115942,93.57282609,0.636
5,103.8947826,20.14576087,93458.47826,29.72717391,82,25.03115942,93.57282609,0.639
5,103.8947826,20.14576087,93458.47826,29.72717391,85.1,25.03115942,93.57282609,1.07
5,103.8947826,20.14576087,93458.47826,29.72717391,88.2,25.03115942,93.57282609,1.07
5,103.8947826,20.14576087,93458.47826,29.72717391,91.4,25.03115942,93.57282609,0
5,103.8947826,20.14576087,93458.47826,29.72717391,94.7,25.03115942,93.57282609,0.866
5,103.8947826,20.14576087,93458.47826,29.72717391,98.2,25.03115942,93.57282609,0.653
5,103.8947826,20.14576087,93458.47826,29.72717391,102,25.03115942,93.57282609,0.219
5,103.8947826,20.14576087,93458.47826,29.72717391,106,25.03115942,93.57282609,1.1
5,103.8947826,20.14576087,93458.47826,29.72717391,109,25.03115942,93.57282609,1.32
5,103.8947826,20.14576087,93458.47826,29.72717391,113,25.03115942,93.57282609,6.44
